Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	Label	Id
A11	12	A34	A40	2121	A61	A73	4	A93	A101	2	A122	30	A143	A152	2	A173	1	A191	A201	1	10226
A11	12	A32	A43	701	A61	A73	4	A94	A101	2	A121	40	A143	A152	1	A172	1	A191	A201	1	10227
A12	12	A32	A45	639	A61	A73	4	A93	A101	2	A123	30	A143	A152	1	A173	1	A191	A201	2	10228
A12	12	A34	A41	1860	A61	A71	4	A93	A101	2	A123	34	A143	A152	2	A174	1	A192	A201	1	10229
A11	12	A34	A40	3499	A61	A73	3	A92	A102	2	A121	29	A143	A152	2	A173	1	A191	A201	2	10230
A12	48	A32	A40	8487	A65	A74	1	A92	A101	2	A123	24	A143	A152	1	A173	1	A191	A201	1	10231
A11	36	A33	A46	6887	A61	A73	4	A93	A101	3	A122	29	A142	A152	1	A173	1	A192	A201	2	10232
A14	15	A32	A42	2708	A61	A72	2	A93	A101	3	A122	27	A141	A152	2	A172	1	A191	A201	1	10233
A14	18	A32	A42	1984	A61	A73	4	A93	A101	4	A124	47	A141	A153	2	A173	1	A191	A201	1	10234
A14	60	A32	A43	10144	A62	A74	2	A92	A101	4	A121	21	A143	A152	1	A173	1	A192	A201	1	10235
A14	12	A34	A43	1240	A65	A75	4	A92	A101	2	A121	38	A143	A152	2	A173	1	A192	A201	1	10236
A14	27	A33	A41	8613	A64	A73	2	A93	A101	2	A123	27	A143	A152	2	A173	1	A191	A201	1	10237
A12	12	A32	A43	766	A63	A73	4	A93	A101	3	A121	66	A143	A152	1	A172	1	A191	A201	2	10238
A12	15	A34	A43	2728	A65	A74	4	A93	A103	2	A121	35	A141	A152	3	A173	1	A192	A201	1	10239
A13	12	A32	A43	1881	A61	A73	2	A92	A101	2	A123	44	A143	A151	1	A172	1	A192	A201	1	10240
A13	6	A32	A40	709	A64	A72	2	A94	A101	2	A121	27	A143	A152	1	A171	1	A191	A202	1	10241
A12	36	A32	A43	4795	A61	A72	4	A92	A101	1	A124	30	A143	A152	1	A174	1	A192	A201	1	10242
A11	27	A32	A43	3416	A61	A73	3	A93	A101	2	A123	27	A143	A152	1	A174	1	A191	A201	1	10243
A11	18	A32	A42	2462	A61	A73	2	A93	A101	2	A123	22	A143	A152	1	A173	1	A191	A201	2	10244
A14	21	A34	A42	2288	A61	A72	4	A92	A101	4	A122	23	A143	A152	1	A173	1	A192	A201	1	10245
A12	48	A31	A49	3566	A62	A74	4	A93	A101	2	A123	30	A143	A152	1	A173	1	A191	A201	1	10246
A11	6	A34	A40	860	A61	A75	1	A92	A101	4	A124	39	A143	A152	2	A173	1	A192	A201	1	10247
A14	12	A34	A40	682	A62	A74	4	A92	A101	3	A123	51	A143	A152	2	A173	1	A192	A201	1	10248
A11	36	A34	A42	5371	A61	A73	3	A93	A103	2	A122	28	A143	A152	2	A173	1	A191	A201	1	10249
A14	18	A34	A43	1582	A64	A75	4	A93	A101	4	A123	46	A143	A152	2	A173	1	A191	A201	1	10250
A14	6	A32	A43	1346	A62	A75	2	A93	A101	4	A124	42	A141	A153	1	A173	2	A192	A201	1	10251
A14	10	A32	A43	1924	A61	A73	1	A93	A101	4	A122	38	A143	A152	1	A173	1	A192	A202	1	10252
A13	36	A32	A43	5848	A61	A73	4	A93	A101	1	A123	24	A143	A152	1	A173	1	A191	A201	1	10253
A12	24	A34	A41	7758	A64	A75	2	A92	A101	4	A124	29	A143	A151	1	A173	1	A191	A201	1	10254
A12	24	A33	A49	6967	A62	A74	4	A93	A101	4	A123	36	A143	A151	1	A174	1	A192	A201	1	10255
A11	12	A32	A42	1282	A61	A73	2	A92	A101	4	A123	20	A143	A151	1	A173	1	A191	A201	2	10256
A11	9	A34	A45	1288	A62	A75	3	A93	A103	4	A121	48	A143	A152	2	A173	2	A191	A202	1	10257
A11	12	A31	A48	339	A61	A75	4	A94	A101	1	A123	45	A141	A152	1	A172	1	A191	A201	1	10258
A12	24	A32	A40	3512	A62	A74	2	A93	A101	3	A123	38	A141	A152	2	A173	1	A192	A201	1	10259
A14	6	A34	A43	1898	A65	A73	1	A93	A101	2	A121	34	A143	A152	2	A172	2	A191	A201	1	10260
A14	24	A34	A43	2872	A62	A75	3	A93	A101	4	A121	36	A143	A152	1	A173	2	A192	A201	1	10261
A14	18	A34	A40	1055	A61	A72	4	A92	A101	1	A122	30	A143	A152	2	A173	1	A191	A201	1	10262
A14	15	A32	A44	1262	A63	A74	4	A93	A101	3	A122	36	A143	A152	2	A173	1	A192	A201	1	10263
A12	10	A32	A40	7308	A61	A71	2	A93	A101	4	A124	70	A141	A153	1	A174	1	A192	A201	1	10264
A14	36	A32	A40	909	A63	A75	4	A93	A101	4	A122	36	A143	A152	1	A173	1	A191	A201	1	10265
A14	6	A32	A42	2978	A63	A73	1	A93	A101	2	A123	32	A143	A152	1	A173	1	A192	A201	1	10266
A11	18	A32	A42	1131	A61	A71	4	A92	A101	2	A123	33	A143	A152	1	A173	1	A191	A201	2	10267
A12	11	A32	A42	1577	A64	A72	4	A92	A101	1	A121	20	A143	A152	1	A173	1	A191	A201	1	10268
A14	24	A32	A42	3972	A61	A74	2	A92	A101	4	A122	25	A143	A151	1	A173	1	A192	A201	1	10269
A12	24	A34	A49	1935	A61	A75	4	A91	A101	4	A121	31	A143	A152	2	A173	1	A192	A201	2	10270
A11	15	A30	A40	950	A61	A75	4	A93	A101	3	A123	33	A143	A151	2	A173	2	A191	A201	2	10271
A14	12	A32	A42	763	A61	A73	4	A92	A101	1	A121	26	A143	A152	1	A173	1	A192	A201	1	10272
A12	24	A33	A42	2064	A61	A71	3	A92	A101	2	A122	34	A143	A152	1	A174	1	A192	A201	2	10273
A12	8	A32	A43	1414	A61	A73	4	A93	A103	2	A121	33	A143	A152	1	A173	1	A191	A202	1	10274
A11	21	A33	A46	3414	A61	A72	2	A93	A101	1	A122	26	A143	A152	2	A173	1	A191	A201	2	10275
A14	30	A31	A41	7485	A65	A71	4	A92	A101	1	A121	53	A141	A152	1	A174	1	A192	A201	2	10276
A11	12	A32	A42	2577	A61	A73	2	A91	A101	1	A123	42	A143	A152	1	A173	1	A191	A201	1	10277
A11	6	A34	A43	338	A63	A75	4	A93	A101	4	A123	52	A143	A152	2	A173	1	A191	A201	1	10278
A14	12	A32	A43	1963	A61	A74	4	A93	A101	2	A123	31	A143	A151	2	A174	2	A192	A201	1	10279
A11	21	A34	A40	571	A61	A75	4	A93	A101	4	A121	65	A143	A152	2	A173	1	A191	A201	1	10280
A14	36	A33	A49	9572	A61	A72	1	A91	A101	1	A123	28	A143	A152	2	A173	1	A191	A201	2	10281
A12	36	A33	A49	4455	A61	A73	2	A91	A101	2	A121	30	A142	A152	2	A174	1	A192	A201	2	10282
A11	21	A31	A40	1647	A65	A73	4	A93	A101	2	A122	40	A143	A152	2	A172	2	A191	A201	2	10283
A14	24	A34	A42	3777	A64	A73	4	A93	A101	4	A121	50	A143	A152	1	A173	1	A192	A201	1	10284
A12	18	A34	A40	884	A61	A75	4	A93	A101	4	A123	36	A141	A152	1	A173	2	A192	A201	2	10285
A14	15	A34	A43	1360	A61	A73	4	A93	A101	2	A122	31	A143	A152	2	A173	1	A191	A201	1	10286
A12	9	A31	A41	5129	A61	A75	2	A92	A101	4	A124	74	A141	A153	1	A174	2	A192	A201	2	10287
A12	16	A34	A40	1175	A61	A71	2	A93	A101	3	A123	68	A143	A153	3	A171	1	A192	A201	1	10288
A11	12	A32	A43	674	A62	A74	4	A94	A101	1	A122	20	A143	A152	1	A173	1	A191	A201	2	10289
A12	18	A30	A42	3244	A61	A73	1	A92	A101	4	A123	33	A141	A152	2	A173	1	A192	A201	1	10290
A14	24	A32	A49	4591	A64	A73	2	A93	A101	3	A122	54	A143	A152	3	A174	1	A192	A201	2	10291
A12	48	A30	A49	3844	A62	A74	4	A93	A101	4	A124	34	A143	A153	1	A172	2	A191	A201	2	10292
A12	27	A32	A49	3915	A61	A73	4	A93	A101	2	A123	36	A143	A152	1	A173	2	A192	A201	2	10293
A14	6	A32	A43	2108	A61	A74	2	A94	A101	2	A121	29	A143	A151	1	A173	1	A191	A201	1	10294
A12	45	A32	A43	3031	A62	A73	4	A93	A103	4	A122	21	A143	A151	1	A173	1	A191	A201	2	10295
A12	9	A34	A46	1501	A61	A75	2	A92	A101	3	A123	34	A143	A152	2	A174	1	A192	A201	2	10296
A14	6	A34	A43	1382	A61	A73	1	A92	A101	1	A123	28	A143	A152	2	A173	1	A192	A201	1	10297
A12	12	A32	A42	951	A62	A72	4	A92	A101	4	A123	27	A141	A151	4	A173	1	A191	A201	2	10298
A12	24	A32	A41	2760	A65	A75	4	A93	A101	4	A124	36	A141	A153	1	A173	1	A192	A201	1	10299
A12	18	A33	A42	4297	A61	A75	4	A91	A101	3	A124	40	A143	A152	1	A174	1	A192	A201	2	10300
A14	9	A34	A46	936	A63	A75	4	A93	A101	2	A123	52	A143	A152	2	A173	1	A192	A201	1	10301
A11	12	A32	A40	1168	A61	A73	4	A94	A101	3	A121	27	A143	A152	1	A172	1	A191	A201	1	10302
A14	27	A33	A49	5117	A61	A74	3	A93	A101	4	A123	26	A143	A152	2	A173	1	A191	A201	1	10303
A11	12	A32	A48	902	A61	A74	4	A94	A101	4	A122	21	A143	A151	1	A173	1	A191	A201	2	10304
A14	12	A34	A40	1495	A61	A75	4	A93	A101	1	A121	38	A143	A152	2	A172	2	A191	A201	1	10305
A11	30	A34	A41	10623	A61	A75	3	A93	A101	4	A124	38	A143	A153	3	A174	2	A192	A201	1	10306
A14	12	A34	A42	1935	A61	A75	4	A93	A101	4	A121	43	A143	A152	3	A173	1	A192	A201	1	10307
A12	12	A34	A44	1424	A61	A74	4	A93	A101	3	A122	26	A143	A152	1	A173	1	A191	A201	1	10308
A11	24	A32	A49	6568	A61	A73	2	A94	A101	2	A123	21	A142	A152	1	A172	1	A191	A201	1	10309
A14	12	A32	A41	1413	A64	A74	3	A93	A101	2	A122	55	A143	A152	1	A173	1	A191	A202	1	10310
A14	9	A34	A43	3074	A65	A73	1	A93	A101	2	A121	33	A143	A152	2	A173	2	A191	A201	1	10311
A14	36	A32	A43	3835	A65	A75	2	A92	A101	4	A121	45	A143	A152	1	A172	1	A192	A201	1	10312
A11	27	A30	A49	5293	A61	A71	2	A93	A101	4	A122	50	A142	A152	2	A173	1	A192	A201	2	10313
A13	30	A33	A49	1908	A61	A75	4	A93	A101	4	A121	66	A143	A152	1	A174	1	A192	A201	2	10314
A14	36	A34	A43	3342	A65	A75	4	A93	A101	2	A123	51	A143	A152	1	A173	1	A192	A201	1	10315
A12	6	A34	A48	932	A65	A74	1	A92	A101	3	A122	39	A143	A152	2	A172	1	A191	A201	1	10316
A11	18	A30	A49	3104	A61	A74	3	A93	A101	1	A122	31	A141	A152	1	A173	1	A192	A201	1	10317
A13	36	A32	A43	3913	A61	A73	2	A93	A101	2	A121	23	A143	A152	1	A173	1	A192	A201	1	10318
A11	24	A32	A42	3021	A61	A73	2	A91	A101	2	A121	24	A143	A151	1	A172	1	A191	A201	1	10319
A14	10	A32	A40	1364	A61	A73	2	A92	A101	4	A123	64	A143	A152	1	A173	1	A192	A201	1	10320
A12	12	A32	A43	625	A61	A72	4	A94	A103	1	A121	26	A141	A152	1	A172	1	A191	A201	1	10321
A11	12	A32	A46	1200	A65	A73	4	A92	A101	4	A122	23	A141	A151	1	A173	1	A192	A201	1	10322
A14	12	A32	A43	707	A61	A73	4	A93	A101	2	A121	30	A141	A152	2	A173	1	A191	A201	1	10323
A14	24	A33	A49	2978	A65	A73	4	A93	A101	4	A121	32	A143	A152	2	A173	2	A192	A201	1	10324
A14	15	A32	A41	4657	A61	A73	3	A93	A101	2	A123	30	A143	A152	1	A173	1	A192	A201	1	10325
A14	36	A30	A45	2613	A61	A73	4	A93	A101	2	A123	27	A143	A152	2	A173	1	A191	A201	1	10326
A12	48	A32	A43	10961	A64	A74	1	A93	A102	2	A124	27	A141	A152	2	A173	1	A192	A201	2	10327
A11	12	A32	A42	7865	A61	A75	4	A93	A101	4	A124	53	A143	A153	1	A174	1	A192	A201	2	10328
A14	9	A32	A43	1478	A61	A74	4	A93	A101	2	A123	22	A143	A152	1	A173	1	A191	A201	2	10329
A11	24	A32	A42	3149	A61	A72	4	A93	A101	1	A124	22	A141	A153	1	A173	1	A191	A201	1	10330
A13	36	A32	A43	4210	A61	A73	4	A93	A101	2	A123	26	A143	A152	1	A173	1	A191	A201	2	10331
A14	9	A32	A40	2507	A63	A75	2	A93	A101	4	A124	51	A143	A153	1	A172	1	A191	A201	1	10332
A14	12	A32	A43	2141	A62	A74	3	A93	A101	1	A124	35	A143	A152	1	A173	1	A191	A201	1	10333
