Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	Id
A14	18	A30	A49	4165	A61	A73	2	A93	A101	2	A123	36	A142	A152	2	A173	2	A191	A201	10928
A11	36	A32	A41	8335	A65	A75	3	A93	A101	4	A124	47	A143	A153	1	A173	1	A191	A201	10929
A12	48	A33	A49	6681	A65	A73	4	A93	A101	4	A124	38	A143	A153	1	A173	2	A192	A201	10930
A14	24	A33	A49	2375	A63	A73	4	A93	A101	2	A123	44	A143	A152	2	A173	2	A192	A201	10931
A11	18	A32	A40	1216	A61	A72	4	A92	A101	3	A123	23	A143	A151	1	A173	1	A192	A201	10932
A11	45	A30	A49	11816	A61	A75	2	A93	A101	4	A123	29	A143	A151	2	A173	1	A191	A201	10933
A12	24	A32	A43	5084	A65	A75	2	A92	A101	4	A123	42	A143	A152	1	A173	1	A192	A201	10934
A13	15	A32	A43	2327	A61	A72	2	A92	A101	3	A121	25	A143	A152	1	A172	1	A191	A201	10935
A11	12	A30	A40	1082	A61	A73	4	A93	A101	4	A123	48	A141	A152	2	A173	1	A191	A201	10936
A14	12	A32	A43	886	A65	A73	4	A92	A101	2	A123	21	A143	A152	1	A173	1	A191	A201	10937
A14	4	A32	A42	601	A61	A72	1	A92	A101	3	A121	23	A143	A151	1	A172	2	A191	A201	10938
A11	24	A34	A41	2957	A61	A75	4	A93	A101	4	A122	63	A143	A152	2	A173	1	A192	A201	10939
A14	24	A34	A43	2611	A61	A75	4	A94	A102	3	A121	46	A143	A152	2	A173	1	A191	A201	10940
A11	36	A32	A42	5179	A61	A74	4	A93	A101	2	A122	29	A143	A152	1	A173	1	A191	A201	10941
A14	21	A33	A41	2993	A61	A73	3	A93	A101	2	A121	28	A142	A152	2	A172	1	A191	A201	10942
A14	18	A32	A45	1943	A61	A72	4	A92	A101	4	A121	23	A143	A152	1	A173	1	A191	A201	10943
A14	24	A31	A49	1559	A61	A74	4	A93	A101	4	A123	50	A141	A152	1	A173	1	A192	A201	10944
A14	18	A32	A42	3422	A61	A75	4	A93	A101	4	A122	47	A141	A152	3	A173	2	A192	A201	10945
A12	21	A32	A42	3976	A65	A74	2	A93	A101	3	A123	35	A143	A152	1	A173	1	A192	A201	10946
A14	18	A32	A40	6761	A65	A73	2	A93	A101	4	A123	68	A143	A151	2	A173	1	A191	A201	10947
A14	24	A32	A40	1249	A61	A72	4	A94	A101	2	A121	28	A143	A152	1	A173	1	A191	A201	10948
A11	9	A32	A43	1364	A61	A74	3	A93	A101	4	A121	59	A143	A152	1	A173	1	A191	A201	10949
A11	12	A32	A43	709	A61	A75	4	A93	A101	4	A121	57	A142	A152	1	A172	1	A191	A201	10950
A11	20	A34	A40	2235	A61	A73	4	A94	A103	2	A122	33	A141	A151	2	A173	1	A191	A202	10951
A14	24	A34	A41	4042	A65	A74	3	A93	A101	4	A122	43	A143	A152	2	A173	1	A192	A201	10952
A14	15	A34	A43	1471	A61	A73	4	A93	A101	4	A124	35	A143	A153	2	A173	1	A192	A201	10953
A11	18	A31	A40	1442	A61	A74	4	A93	A101	4	A124	32	A143	A153	2	A172	2	A191	A201	10954
A14	36	A33	A40	10875	A61	A75	2	A93	A101	2	A123	45	A143	A152	2	A173	2	A192	A201	10955
A14	24	A32	A40	1474	A62	A72	4	A94	A101	3	A121	33	A143	A152	1	A173	1	A192	A201	10956
A14	10	A32	A48	894	A65	A74	4	A92	A101	3	A122	40	A143	A152	1	A173	1	A192	A201	10957
A14	15	A34	A42	3343	A61	A73	4	A93	A101	2	A124	28	A143	A153	1	A173	1	A192	A201	10958
A11	15	A32	A40	3959	A61	A73	3	A92	A101	2	A122	29	A143	A152	1	A173	1	A192	A201	10959
A14	9	A32	A40	3577	A62	A73	1	A93	A103	2	A121	26	A143	A151	1	A173	2	A191	A202	10960
A14	24	A34	A41	5804	A64	A73	4	A93	A101	2	A121	27	A143	A152	2	A173	1	A191	A201	10961
A14	18	A33	A49	2169	A61	A73	4	A94	A101	2	A123	28	A143	A152	1	A173	1	A192	A201	10962
A11	24	A32	A43	2439	A61	A72	4	A92	A101	4	A121	35	A143	A152	1	A173	1	A192	A201	10963
A14	27	A34	A42	4526	A64	A72	4	A93	A101	2	A121	32	A142	A152	2	A172	2	A192	A201	10964
A14	10	A32	A42	2210	A61	A73	2	A93	A101	2	A121	25	A141	A151	1	A172	1	A191	A201	10965
A14	15	A32	A42	2221	A63	A73	2	A92	A101	4	A123	20	A143	A151	1	A173	1	A191	A201	10966
A11	18	A32	A43	2389	A61	A72	4	A92	A101	1	A123	27	A142	A152	1	A173	1	A191	A201	10967
A14	12	A34	A42	3331	A61	A75	2	A93	A101	4	A122	42	A142	A152	1	A173	1	A191	A201	10968
A14	36	A32	A49	7409	A65	A75	3	A93	A101	2	A122	37	A143	A152	2	A173	1	A191	A201	10969
A11	12	A32	A42	652	A61	A75	4	A92	A101	4	A122	24	A143	A151	1	A173	1	A191	A201	10970
A14	36	A33	A42	7678	A63	A74	2	A92	A101	4	A123	40	A143	A152	2	A173	1	A192	A201	10971
A13	6	A34	A40	1343	A61	A75	1	A93	A101	4	A121	46	A143	A152	2	A173	2	A191	A202	10972
A11	24	A34	A49	1382	A62	A74	4	A93	A101	1	A121	26	A143	A152	2	A173	1	A192	A201	10973
A14	15	A32	A44	874	A65	A72	4	A92	A101	1	A121	24	A143	A152	1	A173	1	A191	A201	10974
A11	12	A32	A42	3590	A61	A73	2	A93	A102	2	A122	29	A143	A152	1	A172	2	A191	A201	10975
A12	11	A34	A40	1322	A64	A73	4	A92	A101	4	A123	40	A143	A152	2	A173	1	A191	A201	10976
A11	18	A31	A43	1940	A61	A72	3	A93	A102	4	A124	36	A141	A153	1	A174	1	A192	A201	10977
A14	36	A32	A43	3595	A61	A75	4	A93	A101	2	A123	28	A143	A152	1	A173	1	A191	A201	10978
A11	9	A32	A40	1422	A61	A72	3	A93	A101	2	A124	27	A143	A153	1	A174	1	A192	A201	10979
A14	30	A34	A43	6742	A65	A74	2	A93	A101	3	A122	36	A143	A152	2	A173	1	A191	A201	10980
A14	24	A32	A41	7814	A61	A74	3	A93	A101	3	A123	38	A143	A152	1	A174	1	A192	A201	10981
A14	24	A32	A41	9277	A65	A73	2	A91	A101	4	A124	48	A143	A153	1	A173	1	A192	A201	10982
A12	30	A34	A40	2181	A65	A75	4	A93	A101	4	A121	36	A143	A152	2	A173	1	A191	A201	10983
A14	18	A34	A43	1098	A61	A71	4	A92	A101	4	A123	65	A143	A152	2	A171	1	A191	A201	10984
A12	24	A32	A42	4057	A61	A74	3	A91	A101	3	A123	43	A143	A152	1	A173	1	A192	A201	10985
A11	12	A32	A46	795	A61	A72	4	A92	A101	4	A122	53	A143	A152	1	A173	1	A191	A201	10986
A12	24	A34	A49	2825	A65	A74	4	A93	A101	3	A124	34	A143	A152	2	A173	2	A192	A201	10987
A12	48	A32	A49	15672	A61	A73	2	A93	A101	2	A123	23	A143	A152	1	A173	1	A192	A201	10988
A14	36	A34	A40	6614	A61	A75	4	A93	A101	4	A123	34	A143	A152	2	A174	1	A192	A201	10989
A14	28	A31	A41	7824	A65	A72	3	A93	A103	4	A121	40	A141	A151	2	A173	2	A192	A201	10990
A11	27	A34	A49	2442	A61	A75	4	A93	A101	4	A123	43	A142	A152	4	A174	2	A192	A201	10991
A14	15	A34	A43	1829	A61	A75	4	A93	A101	4	A123	46	A143	A152	2	A173	1	A192	A201	10992
A11	12	A34	A40	2171	A61	A73	4	A93	A101	4	A122	38	A141	A152	2	A172	1	A191	A202	10993
A12	36	A34	A41	5800	A61	A73	3	A93	A101	4	A123	34	A143	A152	2	A173	1	A192	A201	10994
A14	18	A34	A43	1169	A65	A73	4	A93	A101	3	A122	29	A143	A152	2	A173	1	A192	A201	10995
A14	36	A33	A41	8947	A65	A74	3	A93	A101	2	A123	31	A142	A152	1	A174	2	A192	A201	10996
A11	21	A32	A43	2606	A61	A72	4	A92	A101	4	A122	28	A143	A151	1	A174	1	A192	A201	10997
A14	12	A34	A42	1592	A64	A74	3	A92	A101	2	A122	35	A143	A152	1	A173	1	A191	A202	10998
A14	15	A32	A42	2186	A65	A74	1	A92	A101	4	A121	33	A141	A151	1	A172	1	A191	A201	10999
A11	18	A32	A42	4153	A61	A73	2	A93	A102	3	A123	42	A143	A152	1	A173	1	A191	A201	11000
A11	16	A34	A40	2625	A61	A75	2	A93	A103	4	A122	43	A141	A151	1	A173	1	A192	A201	11001
A14	20	A34	A40	3485	A65	A72	2	A91	A101	4	A121	44	A143	A152	2	A173	1	A192	A201	11002
A14	36	A34	A41	10477	A65	A75	2	A93	A101	4	A124	42	A143	A153	2	A173	1	A191	A201	11003
A14	15	A32	A43	1386	A65	A73	4	A94	A101	2	A121	40	A143	A151	1	A173	1	A192	A201	11004
A14	24	A32	A43	1278	A61	A75	4	A93	A101	1	A121	36	A143	A152	1	A174	1	A192	A201	11005
A11	12	A32	A43	1107	A61	A73	2	A93	A101	2	A121	20	A143	A151	1	A174	2	A192	A201	11006
A11	21	A32	A40	3763	A65	A74	2	A93	A102	2	A121	24	A143	A152	1	A172	1	A191	A202	11007
A12	36	A32	A46	3711	A65	A73	2	A94	A101	2	A123	27	A143	A152	1	A173	1	A191	A201	11008
A14	15	A33	A41	3594	A61	A72	1	A92	A101	2	A122	46	A143	A152	2	A172	1	A191	A201	11009
A12	9	A32	A40	3195	A65	A73	1	A92	A101	2	A121	33	A143	A152	1	A172	1	A191	A201	11010
A14	36	A33	A43	4454	A61	A73	4	A92	A101	4	A121	34	A143	A152	2	A173	1	A191	A201	11011
A12	24	A34	A42	4736	A61	A72	2	A92	A101	4	A123	25	A141	A152	1	A172	1	A191	A201	11012
A12	30	A32	A43	2991	A65	A75	2	A92	A101	4	A123	25	A143	A152	1	A173	1	A191	A201	11013
A14	11	A32	A49	2142	A64	A75	1	A91	A101	2	A121	28	A143	A152	1	A173	1	A192	A201	11014
A11	24	A31	A49	3161	A61	A73	4	A93	A101	2	A122	31	A143	A151	1	A173	1	A192	A201	11015
A12	48	A30	A410	18424	A61	A73	1	A92	A101	2	A122	32	A141	A152	1	A174	1	A192	A202	11016
A14	10	A32	A41	2848	A62	A73	1	A93	A102	2	A121	32	A143	A152	1	A173	2	A191	A201	11017
A11	6	A32	A40	14896	A61	A75	1	A93	A101	4	A124	68	A141	A152	1	A174	1	A192	A201	11018
A11	24	A32	A42	2359	A62	A71	1	A91	A101	1	A122	33	A143	A152	1	A173	1	A191	A201	11019
A11	24	A32	A42	3345	A61	A75	4	A93	A101	2	A122	39	A143	A151	1	A174	1	A192	A201	11020
A14	18	A34	A42	1817	A61	A73	4	A92	A101	2	A124	28	A143	A152	2	A173	1	A191	A201	11021
A14	48	A33	A43	12749	A63	A74	4	A93	A101	1	A123	37	A143	A152	1	A174	1	A192	A201	11022
A11	9	A32	A43	1366	A61	A72	3	A92	A101	4	A122	22	A143	A151	1	A173	1	A191	A201	11023
A12	12	A32	A40	2002	A61	A74	3	A93	A101	4	A122	30	A143	A151	1	A173	2	A192	A201	11024
A11	24	A31	A42	6872	A61	A72	2	A91	A101	1	A122	55	A141	A152	1	A173	1	A192	A201	11025
A11	12	A31	A40	697	A61	A72	4	A93	A101	2	A123	46	A141	A152	2	A173	1	A192	A201	11026
A11	18	A34	A42	1049	A61	A72	4	A92	A101	4	A122	21	A143	A151	1	A173	1	A191	A201	11027
A11	48	A32	A41	10297	A61	A74	4	A93	A101	4	A124	39	A142	A153	3	A173	2	A192	A201	11028
A14	30	A32	A43	1867	A65	A75	4	A93	A101	4	A123	58	A143	A152	1	A173	1	A192	A201	11029
A11	12	A33	A40	1344	A61	A73	4	A93	A101	2	A121	43	A143	A152	2	A172	2	A191	A201	11030
A11	24	A32	A42	1747	A61	A72	4	A93	A102	1	A122	24	A143	A152	1	A172	1	A191	A202	11031
A12	9	A32	A43	1670	A61	A72	4	A92	A101	2	A123	22	A143	A152	1	A173	1	A192	A201	11032
A14	9	A34	A40	1224	A61	A73	3	A93	A101	1	A121	30	A143	A152	2	A173	1	A191	A201	11033
A14	12	A34	A43	522	A63	A75	4	A93	A101	4	A122	42	A143	A152	2	A173	2	A192	A201	11034
A11	12	A32	A43	1498	A61	A73	4	A92	A101	1	A123	23	A141	A152	1	A173	1	A191	A201	11035
A12	30	A33	A43	1919	A62	A72	4	A93	A101	3	A124	30	A142	A152	2	A174	1	A191	A201	11036
A13	9	A32	A43	745	A61	A73	3	A92	A101	2	A121	28	A143	A152	1	A172	1	A191	A201	11037
A12	6	A32	A43	2063	A61	A72	4	A94	A101	3	A123	30	A143	A151	1	A174	1	A192	A201	11038
A12	60	A32	A46	6288	A61	A73	4	A93	A101	4	A124	42	A143	A153	1	A173	1	A191	A201	11039
A14	24	A34	A41	6842	A65	A73	2	A93	A101	4	A122	46	A143	A152	2	A174	2	A192	A201	11040
A14	12	A32	A40	3527	A65	A72	2	A93	A101	3	A122	45	A143	A152	1	A174	2	A192	A201	11041
A14	10	A32	A40	1546	A61	A73	3	A93	A101	2	A121	31	A143	A152	1	A172	2	A191	A202	11042
A14	24	A32	A42	929	A65	A74	4	A93	A101	2	A123	31	A142	A152	1	A173	1	A192	A201	11043
A14	4	A34	A40	1455	A61	A74	2	A93	A101	1	A121	42	A143	A152	3	A172	2	A191	A201	11044
A11	15	A32	A42	1845	A61	A72	4	A92	A103	1	A122	46	A143	A151	1	A173	1	A191	A201	11045
A12	48	A30	A40	8358	A63	A72	1	A92	A101	1	A123	30	A143	A152	2	A173	1	A191	A201	11046
A11	24	A31	A42	3349	A63	A72	4	A93	A101	4	A124	30	A143	A153	1	A173	2	A192	A201	11047
A14	12	A32	A40	2859	A65	A71	4	A93	A101	4	A124	38	A143	A152	1	A174	1	A192	A201	11048
A14	18	A32	A42	1533	A61	A72	4	A94	A102	1	A122	43	A143	A152	1	A172	2	A191	A201	11049
A14	24	A32	A43	3621	A62	A75	2	A93	A101	4	A123	31	A143	A152	2	A173	1	A191	A201	11050
A12	18	A34	A49	3590	A61	A71	3	A94	A101	3	A123	40	A143	A152	3	A171	2	A192	A201	11051
A11	36	A33	A49	2145	A61	A74	2	A93	A101	1	A123	24	A143	A152	2	A173	1	A192	A201	11052
A12	24	A32	A41	4113	A63	A72	3	A92	A101	4	A123	28	A143	A151	1	A173	1	A191	A201	11053
A14	36	A32	A42	10974	A61	A71	4	A92	A101	2	A123	26	A143	A152	2	A174	1	A192	A201	11054
A11	12	A32	A40	1893	A61	A73	4	A92	A103	4	A122	29	A143	A152	1	A173	1	A192	A201	11055
A11	24	A34	A43	1231	A64	A75	4	A92	A101	4	A122	57	A143	A151	2	A174	1	A192	A201	11056
A13	30	A34	A43	3656	A65	A75	4	A93	A101	4	A122	49	A142	A152	2	A172	1	A191	A201	11057
A12	9	A34	A43	1154	A61	A75	2	A93	A101	4	A121	37	A143	A152	3	A172	1	A191	A201	11058
A11	28	A32	A40	4006	A61	A73	3	A93	A101	2	A123	45	A143	A152	1	A172	1	A191	A201	11059
A12	24	A32	A42	3069	A62	A75	4	A93	A101	4	A124	30	A143	A153	1	A173	1	A191	A201	11060
A14	6	A34	A43	1740	A61	A75	2	A94	A101	2	A121	30	A143	A151	2	A173	1	A191	A201	11061
A12	21	A33	A40	2353	A61	A73	1	A91	A101	4	A122	47	A143	A152	2	A173	1	A191	A201	11062
A14	15	A32	A40	3556	A65	A73	3	A93	A101	2	A124	29	A143	A152	1	A173	1	A191	A201	11063
A14	24	A32	A43	2397	A63	A75	3	A93	A101	2	A123	35	A141	A152	2	A173	1	A192	A201	11064
A12	6	A32	A45	454	A61	A72	3	A94	A101	1	A122	22	A143	A152	1	A172	1	A191	A201	11065
A12	30	A32	A43	1715	A65	A73	4	A92	A101	1	A123	26	A143	A152	1	A173	1	A191	A201	11066
A12	27	A34	A43	2520	A63	A73	4	A93	A101	2	A122	23	A143	A152	2	A172	1	A191	A201	11067
A14	15	A32	A43	3568	A61	A75	4	A92	A101	2	A123	54	A141	A151	1	A174	1	A192	A201	11068
A14	42	A32	A43	7166	A65	A74	2	A94	A101	4	A122	29	A143	A151	1	A173	1	A192	A201	11069
A11	11	A34	A40	3939	A61	A73	1	A93	A101	2	A121	40	A143	A152	2	A172	2	A191	A201	11070
A12	15	A32	A45	1514	A62	A73	4	A93	A103	2	A121	22	A143	A152	1	A173	1	A191	A201	11071
A14	24	A32	A40	7393	A61	A73	1	A93	A101	4	A122	43	A143	A152	1	A172	2	A191	A201	11072
A11	24	A31	A40	1193	A61	A71	1	A92	A102	4	A124	29	A143	A151	2	A171	1	A191	A201	11073
A11	60	A32	A49	7297	A61	A75	4	A93	A102	4	A124	36	A143	A151	1	A173	1	A191	A201	11074
A14	30	A34	A43	2831	A61	A73	4	A92	A101	2	A123	33	A143	A152	1	A173	1	A192	A201	11075
A13	24	A32	A43	1258	A63	A73	3	A92	A101	3	A123	57	A143	A152	1	A172	1	A191	A201	11076
A12	6	A32	A43	753	A61	A73	2	A92	A103	3	A121	64	A143	A152	1	A173	1	A191	A201	11077
A12	18	A33	A49	2427	A65	A75	4	A93	A101	2	A122	42	A143	A152	2	A173	1	A191	A201	11078
A14	24	A33	A40	2538	A61	A75	4	A93	A101	4	A123	47	A143	A152	2	A172	2	A191	A201	11079
A12	15	A31	A40	1264	A62	A73	2	A94	A101	2	A122	25	A143	A151	1	A173	1	A191	A201	11080
A12	30	A34	A42	8386	A61	A74	2	A93	A101	2	A122	49	A143	A152	1	A173	1	A191	A201	11081
A14	48	A32	A49	4844	A61	A71	3	A93	A101	2	A123	33	A141	A151	1	A174	1	A192	A201	11082
A13	21	A32	A40	2923	A62	A73	1	A92	A101	1	A123	28	A141	A152	1	A174	1	A192	A201	11083
A11	36	A32	A41	8229	A61	A73	2	A93	A101	2	A122	26	A143	A152	1	A173	2	A191	A201	11084
A14	24	A34	A42	2028	A61	A74	2	A93	A101	2	A122	30	A143	A152	2	A172	1	A191	A201	11085
A11	15	A34	A42	1433	A61	A73	4	A92	A101	3	A122	25	A143	A151	2	A173	1	A191	A201	11086
A13	42	A30	A49	6289	A61	A72	2	A91	A101	1	A122	33	A143	A152	2	A173	1	A191	A201	11087
A14	13	A32	A43	1409	A62	A71	2	A92	A101	4	A121	64	A143	A152	1	A173	1	A191	A201	11088
A11	24	A32	A41	6579	A61	A71	4	A93	A101	2	A124	29	A143	A153	1	A174	1	A192	A201	11089
A12	24	A34	A43	1743	A61	A75	4	A93	A101	2	A122	48	A143	A152	2	A172	1	A191	A201	11090
A14	12	A34	A46	3565	A65	A72	2	A93	A101	1	A122	37	A143	A152	2	A172	2	A191	A201	11091
A14	15	A31	A43	1569	A62	A75	4	A93	A101	4	A123	34	A141	A152	1	A172	2	A191	A201	11092
A11	18	A32	A43	1936	A65	A74	2	A94	A101	4	A123	23	A143	A151	2	A172	1	A191	A201	11093
A11	36	A32	A42	3959	A61	A71	4	A93	A101	3	A122	30	A143	A152	1	A174	1	A192	A201	11094
A14	12	A32	A40	2390	A65	A75	4	A93	A101	3	A123	50	A143	A152	1	A173	1	A192	A201	11095
A14	12	A32	A42	1736	A61	A74	3	A92	A101	4	A121	31	A143	A152	1	A172	1	A191	A201	11096
A11	30	A32	A41	3857	A61	A73	4	A91	A101	4	A122	40	A143	A152	1	A174	1	A192	A201	11097
A14	12	A32	A43	804	A61	A75	4	A93	A101	4	A123	38	A143	A152	1	A173	1	A191	A201	11098
A11	45	A32	A43	1845	A61	A73	4	A93	A101	4	A124	23	A143	A153	1	A173	1	A192	A201	11099
A12	45	A34	A41	4576	A62	A71	3	A93	A101	4	A123	27	A143	A152	1	A173	1	A191	A201	11100
